id,label
654,1
79,0
667,1
241,0
384,0
462,0
219,0
457,0
104,0
281,0
800,1
776,1
379,0
804,1
841,1
225,0
618,1
688,1
683,1
273,0
484,0
392,0
612,1
48,0
589,2
193,0
45,0
112,1
169,0
249,0
291,0
706,1
254,0
195,0
362,0
60,0
296,0
280,0
524,0
63,0
399,0
388,0
71,1
693,1
303,0
527,0
49,0
182,0
365,0
7,0
324,0
115,0
552,2
128,0
563,2
512,0
604,1
445,0
187,0
212,0
623,1
201,0
76,0
165,0
731,1
720,1
647,1
595,1
811,1
236,0
496,0
150,0
661,1
763,1
666,1
747,1
209,0
517,0
90,0
347,0
458,0
774,1
44,0
729,1
85,0
332,0
835,1
500,0
635,1
34,0
172,0
423,0
178,0
640,1
438,0
14,0
145,0
769,1
560,2
96,0
314,0
581,2
795,1
506,0
309,0
234,0
135,0
329,0
258,0
372,0
827,1
813,1
474,0
265,0
32,0
430,0
584,2
402,0
738,1
222,0
356,0
101,0
123,0
545,2
782,1
538,2
572,2
742,1
346,0
414,0
754,1
717,1
158,0
406,1
